ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance_km,Prep_time_min,Order_hour,Order_period,Order_dayofweek,Is_weekend
0x750a,PUNERES01DEL01,21.0,4.5,18.569156,73.774723,18.679156,73.884723,2022-03-10,23:25,23:30,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,23,16.851045489710874,5.0,23,Night,3,0
0x7e6a,VADRES05DEL01,39.0,4.9,22.310526,73.170937,22.320526,73.180937,2022-03-11,10:40,10:45,Fog,Low,0,Meal,motorcycle,0.0,No,Metropolitian,28,1.5147927355664839,5.0,10,Morning,4,0
0x4047,HYDRES15DEL02,38.0,5.0,17.45971,78.368855,17.58971,78.498855,2022-03-23,19:30,19:40,Windy,Jam,0,Buffet,motorcycle,2.0,Yes,Semi-Urban,53,19.974163074784503,10.0,19,Evening,2,0
0x280a,VADRES14DEL01,33.0,4.2,22.311603,73.165012,22.421603,73.275012,2022-04-06,19:25,19:30,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,35,16.65990378949706,5.0,19,Evening,2,0
0x53c7,HYDRES17DEL01,35.0,4.0,17.451976,78.385883,17.461976,78.395883,2022-03-21,11:30,11:35,Windy,High,1,Snack,motorcycle,2.0,No,Metropolitian,34,1.5367469794092732,5.0,11,Afternoon,0,0
0xadde,MUMRES05DEL02,23.0,5.0,18.927584,72.832585,18.977584,72.882585,2022-03-24,18:25,18:35,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,24,7.652510173139905,10.0,18,Evening,3,0
0x28e9,HYDRES03DEL02,31.0,4.0,17.422819,78.449578,17.502819,78.529578,2022-04-06,21:25,21:40,Cloudy,Jam,1,Snack,scooter,0.0,No,Metropolitian,42,12.29378731203682,15.0,21,Night,2,0
0x492b,BANGRES010DEL03,22.0,4.7,12.933298,77.614293,12.963298,77.644293,2022-03-30,19:55,20:00,Stormy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,4.658009301231346,5.0,19,Evening,2,0
0xca13,KNPRES16DEL01,35.0,4.7,26.482581,80.315628,26.592581,80.425628,2022-02-18,23:40,23:45,Stormy,Low,0,Buffet,motorcycle,1.0,No,Urban,20,16.411946865277123,5.0,23,Night,4,0
0xbaa9,CHENRES05DEL02,35.0,4.8,13.058616,80.264151,13.108616,80.314151,2022-03-28,20:55,21:05,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Urban,25,7.761284984440735,10.0,20,Night,0,0
0x1be4,PUNERES06DEL02,21.0,4.7,18.546258,73.904337,18.596258,73.954337,2022-03-24,21:00,21:05,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,30,7.660692882261043,5.0,21,Night,3,0
0xa1a2,CHENRES05DEL02,34.0,4.8,13.058616,80.264151,13.078616,80.284151,2022-03-17,11:35,11:50,Stormy,High,1,Snack,scooter,1.0,No,Metropolitian,27,3.104605953841284,15.0,11,Afternoon,3,0
0x9d94,PUNERES17DEL02,34.0,4.8,18.530963,73.828972,18.660963,73.958972,2022-03-08,23:55,00:05,Sunny,Low,1,Meal,scooter,0.0,No,Metropolitian,16,19.916432533839362,10.0,23,Night,1,0
0x60d2,COIMBRES18DEL01,25.0,4.7,11.02091,76.940432,11.09091,77.010432,2022-03-18,23:30,23:40,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,10.906065218662736,10.0,23,Night,4,0
0x93f5,VADRES06DEL02,36.0,4.8,22.31279,73.170283,22.39279,73.250283,2022-04-06,23:20,23:25,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,28,12.11684826095673,5.0,23,Night,2,0
0x336c,CHENRES18DEL01,22.0,4.7,12.981615,80.231598,13.051615,80.301598,2022-03-06,18:10,18:25,Stormy,Medium,1,Snack,motorcycle,1.0,No,Urban,18,10.867232952679457,15.0,18,Evening,6,1
0x1d15,MYSRES02DEL01,23.0,4.7,12.304569,76.643622,12.344569,76.683622,2022-03-07,12:55,13:05,Sunny,High,1,Buffet,scooter,0.0,No,Metropolitian,11,6.218076509100711,10.0,12,Afternoon,0,0
0x8dc7,COIMBRES16DEL03,23.0,4.7,11.010375,76.95295,11.100375,77.04295,2022-03-31,19:20,19:30,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,36,14.022096082518878,10.0,19,Evening,3,0
0x6c74,MUMRES02DEL03,38.0,4.8,19.221315,72.862381,19.281315,72.922381,2022-03-01,20:25,20:35,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,27,9.175193844437826,10.0,20,Night,1,0
0xb04e,HYDRES19DEL01,25.0,5.0,17.458998,78.500366,17.468998,78.510366,2022-03-03,11:15,11:30,Cloudy,High,0,Snack,motorcycle,1.0,No,Urban,26,1.5367187556842812,15.0,11,Afternoon,3,0
0x3db8,MUMRES08DEL03,22.0,4.5,19.065838,72.832658,19.155838,72.922658,2022-03-29,23:45,23:50,Fog,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,13.768325585874765,5.0,23,Night,1,0
0x56e9,MYSRES16DEL03,32.0,4.9,12.316967,76.603067,12.406967,76.693067,2022-03-06,21:20,21:35,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,45,13.989695713800396,15.0,21,Night,6,1
0x397a,INDORES02DEL03,26.0,4.1,22.651847,75.881991,22.681847,75.911991,2022-03-15,23:35,23:40,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,19,4.539068203248638,5.0,23,Night,1,0
0x1481,MUMRES20DEL02,25.0,4.8,19.103249,72.846749,19.183249,72.926749,2022-03-06,17:45,18:00,Fog,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,44,12.237379473670961,15.0,17,Evening,6,1
0x336f,MUMRES09DEL01,23.0,4.9,18.994049,72.825203,19.004049,72.835203,2022-03-28,10:00,10:10,Cloudy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,15,1.5303005968363894,10.0,10,Morning,0,0
0x2a52,HYDRES14DEL02,26.0,4.8,17.426228,78.407495,17.476228,78.457495,2022-03-19,21:35,21:40,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,21,7.683850219127101,5.0,21,Night,5,1
0x1439,COIMBRES18DEL01,21.0,4.5,11.02091,76.940432,11.03091,76.950432,2022-04-01,10:00,10:05,Windy,Low,1,Buffet,scooter,1.0,No,Urban,17,1.5580874730609473,5.0,10,Morning,4,0
0x8ce6,INDORES12DEL03,35.0,4.3,22.74806,75.8934,22.83806,75.9834,2022-03-29,20:20,20:25,Stormy,Jam,2,Drinks,scooter,1.0,No,Urban,32,13.611428630407849,5.0,20,Night,1,0
0xa1a4,RANCHIRES19DEL02,21.0,4.6,23.333017,85.3172,23.463017,85.4472,2022-03-31,22:40,22:45,Windy,Low,2,Drinks,scooter,1.0,No,Unknown,11,19.620419296539986,5.0,22,Night,3,0
